complex_id,name,district,dong,households,built_ymd,min_area_m2,max_area_m2,min_price_manwon,max_price_manwon,sale_count,lat,lng,url
1897,대성,송파구,마천동,71,199506,78.92,80.18,,,3,37.4986364,127.1529966,https://kbland.kr/c/1897
39126,대성골드클래스,송파구,마천동,24,201710,38.42,57.37,56000,69200,0,37.5016966,127.1487564,https://kbland.kr/c/39126
49250,대성스카이뷰,송파구,마천동,21,202004,52.38,56.23,63300,64000,0,37.5018696,127.1481764,https://kbland.kr/c/49250
1905,동구햇살,송파구,마천동,16,200207,75.89,93.70,83800,89600,1,37.4968046,127.1538767,https://kbland.kr/c/1905
1896,마천금호(금호타운),송파구,마천동,199,199805,78.94,111.86,116500,126500,1,37.4946911,127.1531768,https://kbland.kr/c/1896
14114,마천동금호어울림(2차),송파구,마천동,173,200604,81.32,142.79,91500,126000,7,37.4931484,127.1554333,https://kbland.kr/c/14114
1898,마천동삼익,송파구,마천동,96,199611,78.72,120.81,98500,142000,5,37.49903000,127.15353000,https://kbland.kr/c/1898
1895,마천동우방,송파구,마천동,247,200205,74.19,141.79,71500,107000,3,37.5003334,127.1521518,https://kbland.kr/c/1895
21821,메리트,송파구,마천동,84,198806,65.28,92.80,,,0,37.4996414,127.154297,https://kbland.kr/c/21821
21839,보보스빌.,송파구,마천동,6,200409,71.85,78.49,,,2,37.4978893,127.1540246,https://kbland.kr/c/21839
14118,산성,송파구,마천동,19,200308,91.74,94.47,134100,134100,0,37.49295000,127.15828000,https://kbland.kr/c/14118
1903,성영,송파구,마천동,36,200003,102.29,106.45,68900,68900,0,37.4997251,127.1451561,https://kbland.kr/c/1903
42421,송파건원여미지,송파구,마천동,107,201810,71.61,71.66,79000,79000,3,37.5000527,127.1455505,https://kbland.kr/c/42421
21845,송파자연채,송파구,마천동,19,200808,80.68,122.06,69200,101300,0,37.4995169,127.1435602,https://kbland.kr/c/21845
24343,송파파크데일1단지,송파구,마천동,812,201102,78.62,148.35,96500,145000,17,37.4989150,127.1591910,https://kbland.kr/c/24343
24336,송파파크데일2단지,송파구,마천동,889,201102,79.35,150.33,95000,145000,11,37.4957865,127.1589433,https://kbland.kr/c/24336
1507713,송파파크데일4단지(도시형),송파구,마천동,16,201911,,,,,0,37.4953582,127.1577578,https://kbland.kr/c/1507713
1902,신동아,송파구,마천동,134,200106,84.23,109.06,72500,94000,3,37.5003235,127.1445405,https://kbland.kr/c/1902
1895596,신여명(도시형),송파구,마천동,16,201303,30.67,57.85,,,0,37.5010759,127.1430708,https://kbland.kr/c/1895596
35870,씨티빌,송파구,마천동,12,200309,93.85,93.85,72000,72000,0,37.5010793,127.1457345,https://kbland.kr/c/35870
1899,아남,송파구,마천동,122,199212,90.97,106.10,80500,92000,8,37.5005420,127.1460874,https://kbland.kr/c/1899
21840,천마그랑밸리,송파구,마천동,17,200407,67.98,141.76,71800,115900,6,37.5020200,127.1536369,https://kbland.kr/c/21840
1900,한보,송파구,마천동,84,199606,49.11,137.17,72750,137500,3,37.4973221,127.1519144,https://kbland.kr/c/1900
391357,한주리버뷰,송파구,마천동,19,201507,79.20,88.42,,,1,37.4995734,127.1448822,https://kbland.kr/c/391357
1901,현대그린빌,송파구,마천동,70,199806,69.00,104.15,53500,73500,3,37.4950623,127.1509109,https://kbland.kr/c/1901
1986,건영,송파구,문정동,545,199301,94.03,104.42,155000,177500,32,37.4819995,127.1253242,https://kbland.kr/c/1986
15687,그랜빌캐슬,송파구,문정동,18,200310,100.82,115.65,81200,85900,0,37.4829433,127.1250192,https://kbland.kr/c/15687
501193,다원펠리스(도),송파구,문정동,29,201611,39.32,101.25,,,0,37.4888379,127.1254148,https://kbland.kr/c/501193
21911,대림미소나눔,송파구,문정동,10,200409,86.12,88.30,,,0,37.4839588,127.1285099,https://kbland.kr/c/21911
23729,동부주택브리앙뜨(63-8),송파구,문정동,14,200309,58.01,128.85,58400,119800,0,37.4854198,127.1260419,https://kbland.kr/c/23729
1998,동부주택브리앙뜨(74),송파구,문정동,24,200303,94.20,97.55,98500,104200,3,37.48029000,127.12597000,https://kbland.kr/c/1998
20212,동부화이트빌,송파구,문정동,16,200103,58.68,91.64,44000,65600,0,37.4841637,127.1243379,https://kbland.kr/c/20212
26060,동부화이트빌1(2동),송파구,문정동,16,200201,27.83,89.77,23000,60500,0,37.4837208,127.1253607,https://kbland.kr/c/26060
39862,동성(도),송파구,문정동,20,201104,20.49,23.22,,,0,37.4840273,127.1296889,https://kbland.kr/c/39862
39830,드림팰리스,송파구,문정동,20,201606,65.84,65.85,,,0,37.4877084,127.1314496,https://kbland.kr/c/39830
20378,메트로-사,송파구,문정동,14,200303,55.79,94.54,49300,67700,0,37.4836053,127.1267980,https://kbland.kr/c/20378
343631,모던펠리스(도),송파구,문정동,20,201708,36.68,65.07,,,0,37.4875098,127.1256359,https://kbland.kr/c/343631
12723,문정1차동궁리치웰,송파구,문정동,12,200403,83.81,83.81,83300,83300,5,37.48307000,127.12452000,https://kbland.kr/c/12723
1992,문정3차푸르지오,송파구,문정동,150,200208,106.36,106.36,142500,142500,7,37.4870507,127.1333842,https://kbland.kr/c/1992
27347,문정그린.,송파구,문정동,12,200112,81.51,85.09,71600,71800,0,37.4863748,127.1333694,https://kbland.kr/c/27347
12726,문정동궁리치웰(55-3),송파구,문정동,36,200406,88.72,91.96,,,0,37.4866920,127.1226235,https://kbland.kr/c/12726
1989,문정동아,송파구,문정동,78,199611,70.31,110.29,64500,95500,1,37.4877004,127.1286049,https://kbland.kr/c/1989
12853,문정래미안,송파구,문정동,1696,200409,111.46,199.48,190000,242500,156,37.4905853,127.1306635,https://kbland.kr/c/12853
1987,문정시영,송파구,문정동,1316,198903,37.45,74.69,73500,130000,75,37.4917584,127.1364057,https://kbland.kr/c/1987
1099062,문정역마에스트로(주상복합),송파구,문정동,438,202401,25.04,53.30,,,0,37.4863574,127.1231609,https://kbland.kr/c/1099062
1993,문정연합주택조합,송파구,문정동,120,199309,67.50,100.68,97000,125000,16,37.4856984,127.1259482,https://kbland.kr/c/1993
1990,문정푸르지오1차,송파구,문정동,233,199910,78.38,111.14,145000,172500,18,37.4869313,127.1281728,https://kbland.kr/c/1990
1994,문정푸르지오2차,송파구,문정동,165,200104,79.72,114.12,144000,165000,9,37.4867171,127.1272254,https://kbland.kr/c/1994
27730,미소로,송파구,문정동,16,200401,66.50,115.98,45300,71400,2,37.4836610,127.1270235,https://kbland.kr/c/27730
2308474,베루스송파(도시형),송파구,문정동,29,201704,33.78,67.31,,,0,37.4894319,127.1269421,https://kbland.kr/c/2308474
30555,보광(도),송파구,문정동,8,201503,15.86,66.40,,,0,37.4867582,127.1315897,https://kbland.kr/c/30555
19850,보라뷰,송파구,문정동,12,200309,96.63,97.53,81100,81100,0,37.48594900,127.12811600,https://kbland.kr/c/19850
21332,보라뷰2차,송파구,문정동,12,200405,83.87,83.87,74400,74400,0,37.48432000,127.12636000,https://kbland.kr/c/21332
18462,삼형,송파구,문정동,12,200205,111.57,115.48,75100,81500,0,37.48373000,127.12933000,https://kbland.kr/c/18462
19895,선경쉐르빌(106-15),송파구,문정동,12,200209,97.81,97.81,66000,66000,2,37.4863274,127.1293671,https://kbland.kr/c/19895
23385,선경쉐르빌(106-23),송파구,문정동,9,200209,46.66,108.40,,,0,37.4863734,127.1294166,https://kbland.kr/c/23385
20994,성해,송파구,문정동,19,200311,86.55,123.98,83200,108000,0,37.49087000,127.12666000,https://kbland.kr/c/20994
12532,세양청마루,송파구,문정동,157,200404,77.44,77.44,112000,112000,7,37.4925202,127.1370754,https://kbland.kr/c/12532
28681,송파파크하비오푸르지오,송파구,문정동,999,201609,115.48,204.38,195000,210000,93,37.4805063,127.1232386,https://kbland.kr/c/28681
20935,아름빌,송파구,문정동,19,200507,89.72,139.69,66100,97000,1,37.4823741,127.1280986,https://kbland.kr/c/20935
33952,아이디움,송파구,문정동,16,201601,34.41,45.77,,,0,37.4825580,127.1253064,https://kbland.kr/c/33952
293586,엠카운티(도),송파구,문정동,28,201806,41.16,62.97,,,0,37.4883848,127.1273826,https://kbland.kr/c/293586
617412,예원빌(도),송파구,문정동,26,202206,31.89,64.78,,,0,37.4896186,127.1267509,https://kbland.kr/c/617412
1985,올림픽훼밀리타운,송파구,문정동,4494,198812,103.12,219.66,257500,367500,630,37.4885998,127.1150488,https://kbland.kr/c/1985
21488,우민늘푸른,송파구,문정동,19,200707,109.28,139.03,95700,123900,6,37.48331000,127.12523000,https://kbland.kr/c/21488
15589,우암예그리나,송파구,문정동,24,200507,56.01,94.77,43800,83400,0,37.4833634,127.1257719,https://kbland.kr/c/15589
27160,은성파크,송파구,문정동,12,199912,78.81,87.86,80000,89900,0,37.4872173,127.1254217,https://kbland.kr/c/27160
